HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTP,ATP,Team_x,HomeTeam_Elo_Rating,Team_y,AwayTeam_Elo_Rating,HomeWin,AwayWin,Draw
Milan,Udinese,4,2,H,14,9,5,4,5,1,16,13,1,4,0,0,3,0,Milan,1690.5209133702792,Udinese,1493.9533587152246,1,0,0
Sampdoria,Atalanta,0,2,A,11,9,1,3,3,2,13,21,4,6,0,0,0,3,Sampdoria,1473.860696520301,Atalanta,1713.5549870087127,0,1,0
Lecce,Inter,1,2,A,10,19,4,9,6,8,21,19,4,2,0,0,0,3,Lecce,1405.8281763523614,Inter,1740.246315686682,0,1,0
Monza,Torino,1,2,A,15,13,4,6,2,7,6,17,1,2,0,0,0,3,Monza,1519.566563576093,Torino,1429.2193912261607,0,1,0
Fiorentina,Cremonese,3,2,H,27,13,11,4,11,4,10,19,0,3,0,1,3,0,Fiorentina,1531.2110683177475,Cremonese,1405.18147416162,1,0,0
Lazio,Bologna,2,1,H,9,11,6,3,3,2,11,18,2,6,1,1,3,0,Lazio,1645.826378223304,Bologna,1488.951320140793,1,0,0
Salernitana,Roma,0,1,A,13,20,2,5,4,2,18,9,3,2,0,0,0,3,Salernitana,1421.5162914834984,Roma,1631.086076862846,0,1,0
Spezia,Empoli,1,0,H,9,18,2,5,6,4,15,8,2,1,0,0,3,0,Spezia,1439.4940719766748,Empoli,1437.0780282926905,1,0,0
Verona,Napoli,2,5,A,6,25,3,8,4,8,15,6,2,2,0,0,0,3,Verona,1490.815062734296,Napoli,1627.5205286269775,0,1,0
Juventus,Sassuolo,3,0,H,14,19,4,7,3,2,7,5,1,3,0,0,3,0,Juventus,1679.4903997221356,Sassuolo,1553.236083857115,1,0,0
Torino,Lazio,0,0,D,10,7,1,2,6,4,11,12,0,5,0,0,1,1,Torino,1429.2193912261607,Lazio,1645.826378223304,0,0,1
Udinese,Salernitana,0,0,D,15,17,2,6,6,6,9,12,2,4,1,0,1,1,Udinese,1493.9533587152246,Salernitana,1421.5162914834984,0,0,1
Inter,Spezia,3,0,H,19,2,8,0,10,4,11,7,0,0,0,0,3,0,Inter,1740.246315686682,Spezia,1439.4940719766748,1,0,0
Sassuolo,Lecce,1,0,H,12,7,3,1,5,4,14,12,5,1,0,0,3,0,Sassuolo,1553.236083857115,Lecce,1405.8281763523614,1,0,0
Empoli,Fiorentina,0,0,D,4,19,2,2,1,9,13,11,1,3,1,0,1,1,Empoli,1437.0780282926905,Fiorentina,1531.2110683177475,0,0,1
Napoli,Monza,4,0,H,22,4,5,1,10,4,11,13,2,1,0,0,3,0,Napoli,1627.5205286269775,Monza,1519.566563576093,1,0,0
Atalanta,Milan,1,1,D,11,18,2,7,4,6,15,6,4,3,0,0,1,1,Atalanta,1713.5549870087127,Milan,1690.5209133702792,0,0,1
Bologna,Verona,1,1,D,17,19,5,3,9,8,10,14,3,3,1,0,1,1,Bologna,1488.951320140793,Verona,1490.815062734296,0,0,1
