Team,Aver_FTHG,Aver_FTAG,Aver_HS,Aver_AS,Aver_HST,Aver_AST,Aver_HC,Aver_AC,Aver_HF,Aver_AF,Aver_HY,Aver_AY,Aver_HR,Aver_AR,Aver_HTP,Aver_ATP,HomeWins,AwayWins,HomeDraws,AwayDraws,HomeLosses,AwayLosses
Atalanta,2.223684210526316,1.381578947368421,15.631578947368421,8.68421052631579,6.421052631578948,3.789473684210526,6.421052631578948,3.026315789473684,13.263157894736842,12.171052631578947,1.855263157894737,2.5657894736842106,0.05263157894736842,0.07894736842105263,1.7105263157894737,1.0789473684210527,38,43,16,20,22,13
Benevento,1.0,2.0526315789473686,9.421052631578947,12.052631578947368,4.842105263157895,6.315789473684211,4.7368421052631575,6.368421052631579,13.789473684210526,17.31578947368421,2.3684210526315788,1.736842105263158,0.10526315789473684,0.15789473684210525,0.6842105263157895,1.9473684210526316,2,5,7,5,10,9
Bologna,1.4078947368421053,1.3157894736842106,11.973684210526315,11.223684210526315,4.828947368421052,5.026315789473684,5.394736842105263,4.342105263157895,13.157894736842104,14.144736842105264,2.25,2.539473684210526,0.14473684210526316,0.10526315789473684,1.4078947368421053,1.25,27,21,26,18,23,37
Brescia,1.105263157894737,1.7894736842105263,9.105263157894736,12.842105263157896,5.052631578947368,6.7894736842105265,4.105263157894737,6.368421052631579,13.31578947368421,16.68421052631579,2.526315789473684,3.1052631578947367,0.21052631578947367,0.05263157894736842,0.7368421052631579,2.0,3,3,5,2,11,14
Cagliari,1.2982456140350878,1.631578947368421,11.070175438596491,12.017543859649123,4.385964912280702,5.456140350877193,4.473684210526316,5.508771929824562,13.736842105263158,14.157894736842104,2.280701754385965,2.175438596491228,0.08771929824561403,0.10526315789473684,1.0350877192982457,1.719298245614035,15,11,14,20,28,26
Cremonese,0.7894736842105263,1.631578947368421,12.68421052631579,14.631578947368421,3.4210526315789473,5.2631578947368425,3.4210526315789473,5.7894736842105265,12.105263157894736,11.631578947368421,1.5789473684210527,1.8421052631578947,0.05263157894736842,0.05263157894736842,0.8421052631578947,1.9473684210526316,4,1,4,8,11,10
Crotone,1.2105263157894737,1.8421052631578947,9.105263157894736,13.263157894736842,4.2631578947368425,5.894736842105263,3.9473684210526314,6.2105263157894735,14.263157894736842,14.947368421052632,2.210526315789474,2.8421052631578947,0.05263157894736842,0.2631578947368421,0.8947368421052632,2.0,5,1,2,3,12,15
Empoli,1.3157894736842106,1.763157894736842,13.921052631578947,15.947368421052632,4.394736842105263,5.394736842105263,5.184210526315789,5.842105263157895,12.631578947368421,13.631578947368421,2.210526315789474,2.1842105263157894,0.23684210526315788,0.07894736842105263,1.1842105263157894,1.5789473684210527,12,8,9,15,17,15
Fiorentina,1.513157894736842,1.1710526315789473,13.802631578947368,8.328947368421053,5.552631578947368,3.9210526315789473,5.657894736842105,3.1447368421052633,12.907894736842104,15.302631578947368,2.289473684210526,2.8684210526315788,0.10526315789473684,0.07894736842105263,1.5921052631578947,1.118421052631579,33,22,22,20,21,34
Genoa,1.1754385964912282,1.5087719298245614,9.526315789473685,11.578947368421053,4.175438596491228,4.894736842105263,4.4035087719298245,4.807017543859649,14.368421052631579,13.947368421052632,2.4210526315789473,2.2280701754385963,0.10526315789473684,0.08771929824561403,1.0701754385964912,1.6491228070175439,15,9,16,21,26,27
